Agilent Technologies	A	Alcoa Inc	AA
Asset Accep Cap Corp	AACC	Airtran Hldgs Inc	AAI
Alabama Aircraft Ind In	AAII	Atlantic Amern Corp	AAME
Aaron Rents Inc	AAN	Aaon Inc	AAON
Advanced Auto Parts	AAP	Apple Computer Inc	AAPL
Advanced Analogic Te	AATI	Atlas Air Worldwide	AAWW
Alliancebernstein Ho	AB	Advanced Battery Tec	ABAT
Abaxis Inc	ABAX	Abington Bancorp Inc	ABBC
Amerisourcebergen Co	ABC	Ameris Bancorp	ABCB
Advisory Brd Co	ABCO	Anchor Bancorp Wis I	ABCW
Acco Brands Corp	ABD	Allegro Biodiesel Co	ABDS
Arkansas Best Corp	ABFS	Asbury Automotive Gr	ABG
Abitibibowater Inc	ABH.Z	Abraxis Bioscience Inc	ABII
Arca Biopharma Inc	ABIO	Ambac Finl Group Inc	ABK
American Biltrite In	ABL	Abm Inds Inc	ABM
Amer Bio Medica Corp	ABMC	Abiomed Inc	ABMD
Arbor Rlty Tr Inc	ABR	Abbott Labs	ABT
Autobytel Com Inc	ABTL	Alliance Bankshares	ABVA
Acadia Pharmaceutica	ACAD	American Physicians	ACAP
Arctic Cat Inc	ACAT	American Campus Cmnt	ACC
Accelrys Inc	ACCL	Aceto Chem Inc	ACET
Americredit Corp	ACF	Atlantic Coast Fed C	ACFC
Acorn Factor Inc	ACFN	Arch Cap Group Ltd	ACGL
Achillion Pharmaceut	ACHN	Arch Coal Inc	ACI
Aci Worldwide Inc	ACIW	American Commercial Lin	ACLI
Axcelis Technologies	ACLS	Aecom Technology Corp D	ACM
A C Moore Arts & Cra	ACMR	Amcol Intl Corp	ACO
Acorda Therapeutics	ACOR	Active Power Inc	ACPW
Affiliated Computer	ACS.Z	Acacia Resh Corp	ACTG
Actividentity Corp	ACTI	Actel Corp	ACTL
Actuate Software Cor	ACTU	Acme Utd Corp	ACU
Acura Pharmaceuticals I	ACUR	Alberto Culver Co Ne	ACV
Acxiom Corp	ACXM	Aerocentury Corp	ACY
A D A M Inc	ADAM	Authentidate Hldg Co	ADAT
Adobe Sys Inc	ADBE	Agree Realty Corp	ADC
A D C Telecommunicat	ADCT	Adept Technology Inc	ADEP
Ada Es Inc	ADES	Allied Defense Group	ADG
Adams Golf Inc	ADGF	Analog Devices Inc	ADI
Adcare Health System	ADK	Adolor Corp	ADLR
Advanced Life Scienc	ADLS	Archer Daniels Midla	ADM
Adamis Pharmaceuticals	ADMP	Automatic Data Proce	ADP
American Dental Part	ADPI	Adaptec Inc	ADPT
Alliance Data System	ADS	Autodesk Inc	ADSK
Adtran Inc	ADTN	Addus Homecare Corp	ADUS
Advanta Corp	ADVN.B	Advent Software Inc	ADVS
Adams Res & Energy I	AE	Advance Amer Cash Ad	AEA
Associated Estates R	AEC	Ameren Corp	AEE
Aehr Test Systems	AEHR	Advanced Energy Inds	AEIS
American Eqty Invt L	AEL	Adeona Pharmaceuticals	AEN
American Eagle Outfi	AEO	American Elec Pwr In	AEP
Aep Inds Inc	AEPI	Applied Energetics Inc	AERG
Aero Grow Intl Inc	AERO	Advanced Environ Rec	AERT
Aes Corp	AES	Aetna Inc	AET
American Elect Tech Inc	AETI	Addvantage Media Gro	AEY
American Oil & Gas I	AEZ	Astoria Finl Corp	AF
Almost Family Inc	AFAM	Afc Enterprises Inc	AFCE
Affirmative Ins Hldg	AFFM	Affymetrix Inc	AFFX
Affymax Inc	AFFY	American Finl Group	AFG
Aflac Inc	AFL	Alliance Fiber Optic	AFOP
United Cap Corp	AFP	Amtrust Financial Se	AFSI
Aga Med Hldgs Inc	AGAM	Agco Corp	AGCO
Antigenics Inc Del	AGEN	Argo Group Intl Hldgs L	AGII
Agl Res Inc	AGL	Federal Agric Mtg Co	AGM
Allergan Inc	AGN	American Capital Agency	AGNC
Assured Guaranty Ltd	AGO	Amerigroup Corp	AGP
Argan Inc	AGX	Agilysys Inc	AGYS
A H Belo Corp	AHC	Allied Healthcare In	AHCI
Atlas Pipeline Holdi	AHD	Alliance Holdings Gp	AHGP
Animal Health Intl I	AHII	Aspen Insurance Hold	AHL
Allied Healthcare Pr	AHPI	Anthracite Cap Inc	AHR
Amn Healthcare Servi	AHS	Ashford Hospitality	AHT
Arlington Asset Invt Co	AI	American Intl Group Inc	AIG
Aerosonic Corp Del	AIM	Altra Holdings Inc	AIMC
Albany Intl Corp	AIN	American Italian Pas	AIPC
Alliance Imaging Inc	AIQ	Aar Corp	AIR
Air Methods Corp	AIRM	Airspan Networks Inc	AIRN
Air T Inc	AIRT	Airvana Inc	AIRV
Antares Pharma Inc	AIS	Applied Indl Technol	AIT
Apartment Invt & Mgm	AIV	Assurant Inc	AIZ
Gallagher Arthur J &	AJG	Akamai Technologies	AKAM
Akeena Solar Inc De	AKNS	Acadia Rlty Tr	AKR
Akorn Inc	AKRX	Ak Stl Hldg Corp	AKS
Alanco Technologies	ALAN	Albemarle Corp	ALB
Assisted Living Concpt	ALC	Alico Inc	ALCO
Aldila Inc	ALDA	Allete Inc	ALE
Alexander & Baldwin	ALEX	Alamo Group Inc	ALG
Align Technology Inc	ALGN	Allegiant Travel Co	ALGT
Alon Usa Energy Inc	ALJ	Alaska Airgroup	ALK
Alkermes Inc	ALKS	Allstate Corp	ALL
Alliance Pharmaceuti	ALLP	Alliance Financial C	ALNC
Alnylam Pharmaceutic	ALNY	Analogic Corp	ALOG
Astro Med Inc New	ALOT	Alloy Inc	ALOY
Alseres Pharmaceuticals	ALSE	Alaska Communication	ALSK
Allos Therapeutics I	ALTH	Altair Nanotechnolog	ALTI
Altera Corp	ALTR	Altus Pharmaceutical	ALTU
Alexanders Inc	ALX	Alexza Pharmaceutica	ALXA
Alexion Pharmaceutic	ALXN	Allis Chalmers Corp	ALY
American Greetings	AM	Amer Medical Alert	AMAC
Amag Pharmaceuticals In	AMAG	Amarillo Biosciences	AMAR
Applied Materials In	AMAT	Amb Property Corp.	AMB
Applied Micro Circuits	AMCC	Amicas Inc	AMCS
Advanced Micro Devic	AMD	Ametek Inc New	AME
Amedisys Inc	AMED	Amcore Finl Inc	AMFI
Affiliated Managers	AMG	Amgen	AMGN
American Independenc	AMIC	Ambassadors Intl Inc	AMIE
American Intl Indust	AMIN	Amkor Technology Inc	AMKR
Aml Communications I	AMLJ	Amylin Pharmaceutica	AMLN
American Med Sys Hld	AMMD	Ameron Inc	AMN
American Natl Banksh	AMNB	Allied Motion Techno	AMOT
Ameriprise Finl Inc	AMP	American Physicians	AMPH
Ampal Amern Israel	AMPL	Amr Corp	AMR
American Riv Hldgs	AMRB	Albany Molecular Res	AMRI
American Shared Hosp	AMS	American Superconduc	AMSC
Amerisafe Inc	AMSF	Amsurg Corp	AMSG
American Software In	AMSW.A	American Tower Sys C	AMT
Td Ameritrade Hldg C	AMTD	Amerityre Corp	AMTY
American Woodmark Co	AMWD	Amazon Com Inc	AMZN
Autonation Inc	AN	Anadigics Inc	ANAD
American Natl Ins Co	ANAT	American Caresource	ANCI
Access Natl Corp	ANCX	Andersons Inc	ANDE
Andrea Radio Corp	ANDR	Anadys Pharmaceutica	ANDS
Anaren Inc	ANEN	Abercrombie & Fitch	ANF
Angeion Corp	ANGN	Angiodynamics Inc	ANGO
Anworth Mtge Assets	ANH	Anika Resh Inc	ANIK
Analysts Intl Corp	ANLY	Ann Taylor Stores Co	ANN
Alpha Natural Resour	ANR	Ansys Inc	ANSS
Anesiva Inc Com	ANSV	Answers Corp	ANSW
Ante4 Inc	ANTF	Phazar Corp	ANTP
Allied Nevada Gold Corp	ANV	Adventrx Pharmaceuti	ANX
Alliance One Intl In	AOI	Aol Inc	AOL
Aon Corp	AON	A123 Sys Inc	AONE
Smith A O Corp 'b'	AOS	Ampco-Pittsburgh Cor	AP
Apache Corp	APA	Appalachian Bancshar	APAB
Apac Teleservices In	APAC	Apco Oil & Gas Internat	APAG.F
Anadarko Pete Corp	APC	Air Prods & Chems In	APD
American Public Educati	APEI	American Pac Corp	APFC
Amphenol Corp New	APH	Advanced Photonix In	API
Acme Packet Inc	APKT	Atlas Pipeline Partn	APL
Apogee Enterprises	APOG	Apollo Group Inc	APOL
American Apparel Inc	APP	Ap Pharma Inc	APPA
Aspenbio Inc	APPY	Applied Signal Techn	APSG
Amerigas Partners L	APU	Aspyra Inc	APY
Accuray Inc	ARAY	Arbitron	ARB
Ariba Inc	ARBA	Arbinet Thexchange I	ARBX
Appliance Recycling	ARCI	Arena Resources Inc	ARD
Arden Group Inc	ARDN.A	Alexandria Real Esta	ARE
Approach Resources Inc	AREX	Airgas Inc	ARG
Amerigon Inc	ARGN	Apollo Coml Real Est Fi	ARI
Ariad Pharmaceutical	ARIA	American Railcar Ind	ARII
Arch Chemicals Inc	ARJ	Ark Restaurants Corp	ARKR
American Rlty Invs I	ARL	Alliance Resource Pa	ARLP
Arvinmeritor Inc	ARM	Arena Pharmaceutical	ARNA
Aeropostale	ARO	Arrow Finl Corp	AROW
American Reprographi	ARP	Arqule Inc	ARQL
Arris Group Inc	ARRS	Array Biopharma Inc	ARRY
Arabian Shield Dev	ARSD	Arcsight Inc	ARST
Artio Global Invs Inc	ART	Art Technology Group	ARTG
Artesian Res Corp	ARTN.A	Arts Way Mfg Inc	ARTW
Arotech Corp	ARTX	Aruba Networks Inc	ARUN
Arrow Electrs Inc	ARW	Arrow Res Dev Inc	ARWD
Arrowhead Resh Corp	ARWR	Aryx Therapeutics Inc	ARYX
Advansource Biomaterial	ASB	Associated Banc Corp	ASBC
Ameristar Casinos In	ASCA	Ascent Media Corp	ASCM.A
American Science &En	ASEI	Administaff Inc	ASF
Asta Fdg Inc	ASFI	Atlantic Southern Fi	ASFN
On Assignment Inc	ASGN	America Svc Group In	ASGR
Ashland Inc New	ASH	American Safety Ins	ASI
Altisource Portfolio So	ASPS	Ameriserv Finl Inc	ASRV
Astrotech Corp	ASTC	Astec Inds Inc	ASTE
Ascent Solar Technol	ASTI	Aastrom Biosciences	ASTM
Asure Software Inc	ASUR	Amtech Sys Inc	ASYS
Asyst Technology Cor	ASYT	Atc Technology Corp	ATAC
Cycle Ctry Accessori	ATC	American Technology	ATCO
Astea Intl Inc	ATEA	Alphatec Holdings In	ATEC
Altigen Communicatio	ATGN	Athenahealth Inc	ATHN
Atheros Communicatio	ATHR	Allegheny Technologi	ATI
Alliant Techsystems	ATK	Ames Natl Corp	ATLO
Atlas Energy Inc	ATLS	Atmi Inc	ATMI
Atmel Corp	ATML	Atlantic Tele Networ	ATNI
Atmos Energy Corp	ATO	Atp Oil & Gas Corp	ATPG
Aptargroup Inc	ATR	Atricure Inc	ATRC
Atrion Corp	ATRI	Aetrium Inc	ATRM
Atrinsic Inc	ATRN	Astronics Corp	ATRO
Air Trans Hldgs Inc	ATSG	Ats Med Inc	ATSI
Actuant Corp	ATU	Activision Blizzard Inc	ATVI
Atwood Oceanics Inc	ATW	Cross A T Co	ATX
Accuride Corp	AURD.Q	Authentec Inc	AUTH
Auxilium Pharmaceuti	AUXL	Avista Corp	AVA
Aerovironment Inc	AVAV	Avalonbay Cmntys Inc	AVB
Advocat Inc	AVCA	American Vanguard Co	AVD
Avid Technology Inc	AVID	Avi Biopharma Inc	AVII
Avanir Pharmaceutica	AVNR	Aviat Networks Inc	AVNW
Avon Prods Inc	AVP	Aventine Renewable E	AVR
Avistar Communicatio	AVSR	Avnet Inc	AVT
Avatar Hlds Inc	AVTR	Avx Corp New	AVX
Avax Technologies In	AVXT	Avery Dennison Corp	AVY
Aviza Technology Inc	AVZA	Americanwest Bancorp	AWBC
Allied Wrld Assuranc	AWH	Armstrong World Inds	AWI
American Wtr Wks Co Inc	AWK	American Sts Wtr Co	AWR
Aware Inc Mass	AWRE	Avalon Hldgs Corp	AWX
Abraxas Pete Corp	AXAS	Anixter Intl Inc	AXE
Accelreight Technolo	AXK	American Axle & Mfg	AXL
American Express Co	AXP	Amrep Corp New	AXR
Axis Capital Holding	AXS	Axcess Inc	AXSI
Axesstel Inc	AXST	Axt Inc	AXTI
Allegheny Energy Inc	AYE	Acuity Brands Inc	AYI
Aircastle Ltd	AYR	Autozone Inc	AZO
Azz Inc	AZZ	Barnes Group Inc	B
Boeing Co	BA	Natus Medical Inc De	BABY
Bank Amer Corp	BAC	Einstein Noah Rest Grou	BAGL
Books-A-Million Inc	BAMM	Bancfirst Corp	BANF
Banner Corp	BANR	Bare Escentuals Inc	BARE
Bancorp Rhode Island	BARI	Basic Energy Svcs In	BAS
Baxter Intl Inc	BAX	Bay Natl Corp	BAYN
Blackboard Inc	BBBB	Bed Bath & Beyond In	BBBY
Breitburn Energy Par	BBEP	Barrett Bill Corp	BBG
